	FID	OBJECTID	AREA	PERIMETER	STATE	COUNTY	TRACT	CT_ID	LOGRECNO	BLK_COUNT	DRY_PCT	DRY_ACRES	DRY_SQMI	DRY_SQKM	SHAPE_AREA	SHAPE_LEN	HOODS_PD_I	Nbhd	NbhdCRM	NSA_ID_1	NSA_NAME	UniqueID	UniqueID_1	CT_ID_1	Nbhd_1	B19013_Med	WALKABILIT	Quality_of	TRACT-formatted
0	boston_income_73g.1	1022	2331282.49	8999.064	25	25	100	25025000100	15167	63	0.9214	530.82	0.829	2.148	2331289.03	8999.059112	11	Allston-Brighton	Allston-Brighton	1	Allston	0	1	25025000100.0	Allston-Brighton	56849	3.616968	10.188071	000100
1	boston_income_73g.2	1023	595260.387	3973.099	25	25	201	25025000201	15172	30	1.0	147.09	0.23	0.595	595259.2041	3973.069788	11	Allston-Brighton	Allston-Brighton	2A	Brighton - Oak Square	0	2	25025000201.0	Allston-Brighton	67957	4.412536	11.655796	000201
2	boston_income_73g.3	1026	646930.4	3746.924	25	25	302	25025000302	15187	13	0.9463	151.28	0.236	0.612	646929.0907	3746.917323	11	Allston-Brighton	Allston-Brighton	2A	Brighton - Oak Square	0	3	25025000302.0	Allston-Brighton	84400	3.852583	13.631253	000302
3	boston_income_73g.4	1029	460645.205	3783.531	25	25	501	25025000501	15199	37	1.0	113.83	0.178	0.461	460643.6179	3783.518138	11	Allston-Brighton	Allston-Brighton	3B	Commonwealth - Cleveland Cir	0	4	25025000501.0	Allston-Brighton	45821	5.477832	9.553463	000501
4	boston_income_73g.5	1032	603325.381	3652.005	25	25	602	25025000602	15216	13	1.0	149.08	0.233	0.603	603323.4131	3651.996509	11	Allston-Brighton	Allston-Brighton	2B	Brighton - St Elizabeth's	0	5	25025000602.0	Allston-Brighton	36458	3.746761	6.027299	000602
5	boston_income_73g.6	1034	420837.713	3160.039	25	25	702	25025000702	15226	37	1.0	103.99	0.162	0.421	420838.8771	3160.054878	11	Allston-Brighton	Allston-Brighton	3A	Commonwealth - Kelton St	0	6	25025000702.0	Allston-Brighton	41463	9.015345	7.478542	000702
6	boston_income_73g.7	1037	493989.331	3398.83	25	25	10101	25025010101	15241	52	0.6901	84.23	0.132	0.341	493988.0141	3398.845226	12	Fenway	Boston	28	Kenmore	0	7	25025010101.0	Fenway	52222	5.634118	10.940669	010101
7	boston_income_73g.8	1040	264514.641	3129.24	25	25	10202	25025010202	15256	17	1.0	65.36	0.102	0.265	264511.3648	3129.255648	12	Fenway	Boston	28	Kenmore	0	8	25025010202.0	Fenway	36927	6.323981	9.870046	010202
8	boston_income_73g.9	1042	230107.394	2239.069	25	25	10401	25025010401	15263	14	1.0	56.86	0.089	0.23	230109.4012	2239.068091	12	Fenway	Boston	27	Fenway	0	9	25025010401.0	Fenway	28235	9.626002	10.992887	010401
9	boston_income_73g.10	1044	211204.144	2018.284	25	25	10500	25025010500	15272	17	1.0	52.19	0.082	0.211	211204.3252	2018.275355	16	Back Bay	Boston	27	Fenway	0	10	25025010500.0	Back Bay	39538	6.12705	11.11372	010500
10	boston_income_73g.11	1047	736070.941	4211.089	25	25	10800	25025010800	15286	38	0.5439	98.92	0.155	0.4	736072.3297	4211.084309	16	Back Bay	Boston	4C	Back Bay West	0	11	25025010800.0	Back Bay	91518	5.192428	13.837881	010800
11	boston_income_73g.12	1049	106366.399	1668.001	25	25	20200	25025020200	15298	19	1.0	26.28	0.041	0.106	106366.2918	1667.988276	15	Beacon Hill	Boston	4A	Beacon Hill	0	12	25025020200.0	Beacon Hill	57468	14.679487	12.865194	020200
12	boston_income_73g.13	1052	75585.662	1413.267	25	25	30200	25025030200	15309	19	1.0	18.68	0.029	0.076	75586.7182	1413.253535	17	Financial District	Boston	48	North End/Waterfront	0	13	25025030200.0	Financial District	54141	14.727636	11.776351	030200
13	boston_income_73g.14	1055	207360.31	3884.518	25	25	30500	25025030500	15319	26	0.9691	49.66	0.078	0.201	207363.7968	3884.540815	17	Financial District	Boston	48	North End/Waterfront	0	14	25025030500.0	Financial District	101340	9.073686	15.312312	030500
